사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021032200100308,2021년 3월 22일 15시,월요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,기타,맑음,교차로 - 교차로횡단보도내,화물,남,65세,상해없음,보행자,남,73세,경상
2021032400100151,2021년 3월 24일 10시,수요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,62세,상해없음,보행자,여,71세,중상
2021032600100274,2021년 3월 26일 14시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,기타,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,여,85세,경상
2021032600100537,2021년 3월 26일 20시,금요일,서울특별시 동대문구 청량리동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,기타 - 기타,화물,남,43세,상해없음,보행자,여,66세,부상신고
2021040200100353,2021년 4월 2일 16시,금요일,서울특별시 동대문구 휘경동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,57세,상해없음,보행자,여,80세,경상
2021040600100448,2021년 4월 6일 19시,화요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,기타,교차로 - 교차로부근,승용,남,56세,상해없음,보행자,여,76세,중상
2021040800100406,2021년 4월 8일 17시,목요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,42세,상해없음,보행자,여,73세,중상
2021040900100356,2021년 4월 9일 16시,금요일,서울특별시 동대문구 전농동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,56세,상해없음,보행자,남,66세,경상
2021041200100159,2021년 4월 12일 11시,월요일,서울특별시 동대문구 장안동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,보행자,남,75세,부상신고
2021041500100192,2021년 4월 15일 12시,목요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,기타,맑음,교차로 - 교차로부근,승용,여,53세,상해없음,보행자,여,67세,경상
2021042000100333,2021년 4월 20일 15시,화요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,57세,상해없음,보행자,여,71세,경상
2021042200100282,2021년 4월 22일 14시,목요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,35세,상해없음,보행자,여,72세,경상
2021042900100080,2021년 4월 29일 08시,목요일,서울특별시 동대문구 회기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,보행자,여,67세,경상
2021043000100254,2021년 4월 30일 13시,금요일,서울특별시 동대문구 전농동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,25세,상해없음,보행자,여,72세,중상
2021050300100022,2021년 5월 3일 05시,월요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,64세,상해없음,보행자,여,79세,중상
2021050700100152,2021년 5월 7일 11시,금요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,24세,상해없음,보행자,남,74세,중상
